SignId,Id,X,Y,Z,Retro,angle,distance,UTC
1,38653,33.7872506,-84.4055608,244.754,0.75,-0.20918,6.640,66090.603
1,38654,33.7872506,-84.4055606,244.689,0.75,-0.21945,6.637,66090.603
1,38655,33.7872505,-84.4055605,244.620,0.74,-0.22972,6.646,66090.603
1,38710,33.7872504,-84.4055611,245.048,0.74,-0.16810,6.502,66090.616
1,38711,33.7872504,-84.4055611,244.981,0.76,-0.17837,6.512,66090.616
1,38712,33.7872504,-84.4055610,244.915,0.74,-0.18863,6.513,66090.616
1,38713,33.7872503,-84.4055607,244.852,0.74,-0.19890,6.502,66090.616
1,38714,33.7872503,-84.4055608,244.783,0.73,-0.20917,6.520,66090.616
1,38715,33.7872502,-84.4055606,244.718,0.71,-0.21944,6.520,66090.616
1,38716,33.7872502,-84.4055607,244.648,0.56,-0.22971,6.541,66090.616
1,38775,33.7872501,-84.4055613,245.004,0.53,-0.17826,6.407,66090.629
1,38776,33.7872501,-84.4055614,244.934,0.53,-0.18853,6.431,66090.629
1,38777,33.7872500,-84.4055612,244.871,0.53,-0.19879,6.426,66090.629
1,38778,33.7872500,-84.4055611,244.805,0.51,-0.20906,6.435,66090.629
2,40597,33.7872595,-84.4056250,245.124,0.71,-0.11676,9.001,66091.029
2,40598,33.7872594,-84.4056249,245.033,0.74,-0.12703,8.995,66091.029
2,40599,33.7872593,-84.4056247,244.942,0.74,-0.13731,8.990,66091.029
2,40600,33.7872592,-84.4056246,244.850,0.75,-0.14758,8.998,66091.029
2,40601,33.7872591,-84.4056245,244.759,0.75,-0.15786,8.997,66091.029
2,40655,33.7872590,-84.4056249,245.141,0.74,-0.11685,8.860,66091.042
2,40656,33.7872589,-84.4056246,245.054,0.74,-0.12713,8.841,66091.042
2,40657,33.7872589,-84.4056249,244.958,0.75,-0.13741,8.876,66091.042
2,40658,33.7872588,-84.4056246,244.871,0.75,-0.14768,8.857,66091.042
2,40659,33.7872587,-84.4056244,244.782,0.75,-0.15796,8.858,66091.042
2,40660,33.7872586,-84.4056243,244.691,0.74,-0.16823,8.865,66091.042
2,40718,33.7872585,-84.4056249,245.159,0.74,-0.11685,8.725,66091.055
2,40719,33.7872585,-84.4056248,245.070,0.74,-0.12713,8.725,66091.055
2,40720,33.7872584,-84.4056247,244.981,0.75,-0.13740,8.727,66091.055
2,40721,33.7872583,-84.4056245,244.894,0.75,-0.14767,8.718,66091.055
2,40722,33.7872583,-84.4056245,244.803,0.75,-0.15795,8.737,66091.055
2,40723,33.7872582,-84.4056244,244.714,0.74,-0.16823,8.739,66091.055
2,40724,33.7872581,-84.4056242,244.626,0.73,-0.17850,8.736,66091.055
2,40776,33.7872583,-84.4056253,245.262,0.75,-0.10647,8.621,66091.068
2,40777,33.7872581,-84.4056250,245.177,0.74,-0.11675,8.605,66091.068
2,40778,33.7872580,-84.4056248,245.090,0.75,-0.12702,8.597,66091.069
2,40779,33.7872580,-84.4056248,245.002,0.74,-0.13729,8.604,66091.069
2,40780,33.7872579,-84.4056247,244.914,0.75,-0.14757,8.608,66091.069
2,40781,33.7872579,-84.4056245,244.828,0.75,-0.15784,8.603,66091.069
2,40782,33.7872578,-84.4056244,244.740,0.75,-0.16812,8.607,66091.069
2,40783,33.7872577,-84.4056243,244.653,0.73,-0.17839,8.607,66091.069
2,40784,33.7872576,-84.4056241,244.566,0.72,-0.18867,8.608,66091.069
2,40837,33.7872577,-84.4056251,245.281,0.75,-0.10657,8.468,66091.082
2,40838,33.7872577,-84.4056250,245.195,0.74,-0.11684,8.470,66091.082
2,40839,33.7872577,-84.4056250,245.107,0.75,-0.12712,8.482,66091.082
2,40840,33.7872576,-84.4056248,245.023,0.75,-0.13739,8.467,66091.082
2,40841,33.7872575,-84.4056247,244.935,0.74,-0.14767,8.479,66091.082
2,40842,33.7872574,-84.4056244,244.853,0.74,-0.15794,8.460,66091.082
2,40843,33.7872573,-84.4056243,244.767,0.75,-0.16821,8.462,66091.082
2,40844,33.7872573,-84.4056243,244.679,0.74,-0.17849,8.475,66091.082
2,40845,33.7872572,-84.4056241,244.594,0.76,-0.18876,8.474,66091.082
2,40846,33.7872572,-84.4056241,244.506,0.69,-0.19904,8.487,66091.082
2,40900,33.7872574,-84.4056253,245.382,0.70,-0.09629,8.349,66091.095
2,40901,33.7872573,-84.4056250,245.300,0.75,-0.10656,8.327,66091.095
2,40902,33.7872572,-84.4056249,245.215,0.74,-0.11684,8.325,66091.095
2,40903,33.7872572,-84.4056249,245.129,0.75,-0.12711,8.337,66091.095
2,40904,33.7872571,-84.4056248,245.045,0.74,-0.13739,8.334,66091.095
2,40905,33.7872570,-84.4056246,244.960,0.75,-0.14766,8.332,66091.095
2,40906,33.7872569,-84.4056244,244.878,0.75,-0.15793,8.323,66091.095
2,40907,33.7872569,-84.4056244,244.792,0.75,-0.16821,8.333,66091.095
2,40908,33.7872568,-84.4056243,244.707,0.75,-0.17848,8.337,66091.095
2,40909,33.7872568,-84.4056242,244.621,0.74,-0.18876,8.349,66091.095
2,40910,33.7872568,-84.4056242,244.534,0.74,-0.19903,8.364,66091.095
2,40963,33.7872569,-84.4056252,245.400,0.56,-0.09619,8.204,66091.108
2,40964,33.7872569,-84.4056251,245.317,0.74,-0.10646,8.204,66091.108
2,40965,33.7872568,-84.4056249,245.235,0.75,-0.11673,8.193,66091.108
2,40966,33.7872568,-84.4056249,245.149,0.75,-0.12701,8.207,66091.108
2,40967,33.7872567,-84.4056247,245.067,0.75,-0.13728,8.197,66091.109
2,40968,33.7872566,-84.4056247,244.983,0.74,-0.14755,8.205,66091.109
2,40969,33.7872565,-84.4056245,244.901,0.74,-0.15783,8.200,66091.109
2,40970,33.7872565,-84.4056246,244.814,0.75,-0.16810,8.221,66091.109
2,40971,33.7872564,-84.4056243,244.734,0.75,-0.17837,8.208,66091.109
