SignId,Id,X,Y,Z,Retro,UTC,R,G,B,H,S,B,pX,pY,
2,678997,33.7739897,-84.4018738,306.650,0.71,64556.39378,-1,-1,-1,-1.0,-1.000,-1.000,0.911,0.405,
2,678998,33.7739898,-84.4018739,306.572,0.76,64556.39381,-1,-1,-1,-1.0,-1.000,-1.000,0.913,0.481,
2,678999,33.7739898,-84.4018739,306.495,0.70,64556.39384,-1,-1,-1,-1.0,-1.000,-1.000,0.913,0.556,
2,679130,33.7739895,-84.4018741,306.655,0.75,64556.40709,-1,-1,-1,-1.0,-1.000,-1.000,0.875,0.400,
2,679131,33.7739894,-84.4018741,306.579,0.75,64556.40712,-1,-1,-1,-1.0,-1.000,-1.000,0.867,0.474,
2,679132,33.7739892,-84.4018739,306.504,0.75,64556.40716,-1,-1,-1,-1.0,-1.000,-1.000,0.864,0.547,
2,679262,33.7739892,-84.4018743,306.734,0.72,64556.42037,-1,-1,-1,-1.0,-1.000,-1.000,0.838,0.323,
2,679263,33.7739891,-84.4018743,306.659,0.75,64556.42040,-1,-1,-1,-1.0,-1.000,-1.000,0.830,0.396,
2,679264,33.7739892,-84.4018743,306.584,0.76,64556.42043,-1,-1,-1,-1.0,-1.000,-1.000,0.838,0.469,
2,679265,33.7739891,-84.4018743,306.510,0.76,64556.42047,-1,-1,-1,-1.0,-1.000,-1.000,0.830,0.541,
2,679266,33.7739892,-84.4018744,306.434,0.71,64556.42050,-1,-1,-1,-1.0,-1.000,-1.000,0.832,0.616,
2,679395,33.7739890,-84.4018746,306.735,0.73,64556.43368,-1,-1,-1,-1.0,-1.000,-1.000,0.803,0.322,
2,679396,33.7739889,-84.4018746,306.661,0.76,64556.43371,-1,-1,-1,-1.0,-1.000,-1.000,0.794,0.394,
2,679397,33.7739889,-84.4018745,306.588,0.76,64556.43374,-1,-1,-1,-1.0,-1.000,-1.000,0.801,0.465,
2,679398,33.7739889,-84.4018746,306.514,0.77,64556.43378,-1,-1,-1,-1.0,-1.000,-1.000,0.794,0.538,
2,679399,33.7739890,-84.4018747,306.440,0.76,64556.43381,-1,-1,-1,-1.0,-1.000,-1.000,0.796,0.610,
2,679400,33.7739890,-84.4018748,306.365,0.72,64556.43384,-1,-1,-1,-1.0,-1.000,-1.000,0.790,0.683,
2,679527,33.7739887,-84.4018748,306.809,0.69,64556.44696,-1,-1,-1,-1.0,-1.000,-1.000,0.765,0.250,
2,679528,33.7739887,-84.4018749,306.737,0.76,64556.44699,-1,-1,-1,-1.0,-1.000,-1.000,0.759,0.320,
2,679529,33.7739886,-84.4018748,306.664,0.76,64556.44702,-1,-1,-1,-1.0,-1.000,-1.000,0.757,0.391,
2,679530,33.7739887,-84.4018749,306.592,0.76,64556.44706,-1,-1,-1,-1.0,-1.000,-1.000,0.759,0.461,
2,679531,33.7739887,-84.4018749,306.519,0.76,64556.44709,-1,-1,-1,-1.0,-1.000,-1.000,0.759,0.533,
2,679532,33.7739886,-84.4018749,306.447,0.75,64556.44712,-1,-1,-1,-1.0,-1.000,-1.000,0.751,0.603,
2,679533,33.7739887,-84.4018749,306.374,0.75,64556.44715,-1,-1,-1,-1.0,-1.000,-1.000,0.759,0.674,
2,679661,33.7739885,-84.4018752,306.810,0.70,64556.46027,-1,-1,-1,-1.0,-1.000,-1.000,0.723,0.249,
2,679662,33.7739884,-84.4018751,306.739,0.75,64556.46030,-1,-1,-1,-1.0,-1.000,-1.000,0.722,0.318,
2,679663,33.7739884,-84.4018751,306.668,0.76,64556.46034,-1,-1,-1,-1.0,-1.000,-1.000,0.722,0.387,
2,679664,33.7739884,-84.4018751,306.597,0.76,64556.46037,-1,-1,-1,-1.0,-1.000,-1.000,0.722,0.457,
2,679665,33.7739885,-84.4018752,306.525,0.76,64556.46040,-1,-1,-1,-1.0,-1.000,-1.000,0.723,0.527,
2,679666,33.7739884,-84.4018751,306.454,0.75,64556.46043,-1,-1,-1,-1.0,-1.000,-1.000,0.722,0.596,
2,679667,33.7739885,-84.4018752,306.382,0.76,64556.46047,-1,-1,-1,-1.0,-1.000,-1.000,0.723,0.666,
2,679668,33.7739885,-84.4018753,306.310,0.70,64556.46050,-1,-1,-1,-1.0,-1.000,-1.000,0.717,0.737,
2,679793,33.7739882,-84.4018753,306.880,0.69,64556.47355,-1,-1,-1,-1.0,-1.000,-1.000,0.693,0.180,
2,679794,33.7739883,-84.4018755,306.810,0.76,64556.47358,-1,-1,-1,-1.0,-1.000,-1.000,0.688,0.249,
2,679795,33.7739882,-84.4018754,306.740,0.76,64556.47361,-1,-1,-1,-1.0,-1.000,-1.000,0.686,0.317,
2,679796,33.7739883,-84.4018755,306.670,0.76,64556.47365,-1,-1,-1,-1.0,-1.000,-1.000,0.688,0.385,
2,679797,33.7739882,-84.4018755,306.600,0.76,64556.47368,-1,-1,-1,-1.0,-1.000,-1.000,0.680,0.454,
2,679798,33.7739882,-84.4018754,306.530,0.76,64556.47371,-1,-1,-1,-1.0,-1.000,-1.000,0.686,0.522,
2,679799,33.7739882,-84.4018755,306.459,0.76,64556.47374,-1,-1,-1,-1.0,-1.000,-1.000,0.680,0.591,
2,679800,33.7739881,-84.4018754,306.390,0.75,64556.47378,-1,-1,-1,-1.0,-1.000,-1.000,0.678,0.659,
2,679801,33.7739881,-84.4018754,306.320,0.76,64556.47381,-1,-1,-1,-1.0,-1.000,-1.000,0.678,0.727,
2,679802,33.7739883,-84.4018756,306.247,0.72,64556.47384,-1,-1,-1,-1.0,-1.000,-1.000,0.682,0.798,
2,679927,33.7739881,-84.4018757,306.880,0.71,64556.48686,-1,-1,-1,-1.0,-1.000,-1.000,0.659,0.180,
2,679928,33.7739880,-84.4018756,306.811,0.75,64556.48690,-1,-1,-1,-1.0,-1.000,-1.000,0.657,0.248,
2,679929,33.7739880,-84.4018757,306.742,0.75,64556.48693,-1,-1,-1,-1.0,-1.000,-1.000,0.651,0.315,
2,679930,33.7739880,-84.4018757,306.673,0.76,64556.48696,-1,-1,-1,-1.0,-1.000,-1.000,0.651,0.382,
2,679931,33.7739880,-84.4018758,306.604,0.76,64556.48699,-1,-1,-1,-1.0,-1.000,-1.000,0.644,0.450,
2,679932,33.7739880,-84.4018757,306.535,0.76,64556.48703,-1,-1,-1,-1.0,-1.000,-1.000,0.651,0.517,
2,679933,33.7739880,-84.4018758,306.466,0.75,64556.48706,-1,-1,-1,-1.0,-1.000,-1.000,0.644,0.584,
2,679934,33.7739880,-84.4018758,306.397,0.76,64556.48709,-1,-1,-1,-1.0,-1.000,-1.000,0.644,0.652,
2,679935,33.7739880,-84.4018758,306.327,0.76,64556.48713,-1,-1,-1,-1.0,-1.000,-1.000,0.644,0.720,
2,679936,33.7739880,-84.4018759,306.258,0.75,64556.48716,-1,-1,-1,-1.0,-1.000,-1.000,0.638,0.787,
