Id,X,Y,Z,Angle,Distance,Retro,UTC,x_cart,y_cart,z_cart,sign_id
15738536,-84.247115956,33.849688232,324.6245,0.027139999999999997,51.122,0.773,70985.98878,5968.396397426403,197.09611294731008,-121.81902944509147,2049
15738537,-84.247115954,33.849688101999995,324.0985,0.01685,51.126000000000005,0.698,70985.98881,5968.381483183339,197.09628211384194,-121.2930432135804,2049
15738622,-84.247115305,33.849688025,324.6193,0.027039999999999998,50.967,0.769,70986.00209,5968.373432253826,197.1563645473272,-121.81384914935188,2049
15738623,-84.247115237,33.849687997,324.0947,0.01675,50.958,0.6709999999999999,70986.00213,5968.369833832975,197.16264194093844,-121.28925210343914,2049
15738709,-84.24711469,33.849687784000004,324.0941,0.01675,50.803999999999995,0.667,70986.01546000001,5968.346207232204,197.21326829541533,-121.28867272593834,2049
15738794,-84.24711403,33.849687748,324.0983,0.01685,50.628,0.42700000000000005,70986.02877,5968.342219129821,197.27435275424665,-121.29287458657154,2049
15738879,-84.24711329899999,33.849687820999996,324.0921,0.01675,50.438,0.4,70986.04209,5968.350312252653,197.34200782724162,-121.28666489313991,2049
15738964,-84.247112874,33.849687419,324.0917,0.01675,50.308,0.6709999999999999,70986.0554,5968.305720728621,197.3813432927891,-121.28630555125255,2049
15739047,-84.247112265,33.849687302,324.0959,0.01685,50.141999999999996,0.69,70986.06872000001,5968.29274758083,197.4377077916938,-121.29051599410332,2049
15739130,-84.24711166600001,33.84968717,324.0901,0.01675,49.978,0.725,70986.08202999999,5968.278101145939,197.49314649771551,-121.28472803020986,2049
15739212,-84.24711097,33.849687187,324.0891,0.01675,49.795,0.596,70986.09535,5968.279987271982,197.55756254495634,-121.2837242675223,2049
15739295,-84.247110489,33.849686872,324.0935,0.01685,49.653999999999996,0.41600000000000004,70986.10867,5968.245050862093,197.60208086457754,-121.28815569941389,2049
15739378,-84.247109854,33.849686795,324.0876,0.01675,49.483000000000004,0.408,70986.12198,5968.236505292431,197.66085130911836,-121.28226190221403,2049
15739461,-84.247109285,33.849686614,324.0869,0.01675,49.325,0.502,70986.1353,5968.216428252248,197.7135137312141,-121.2815791245107,2049
15739544,-84.247108543,33.849686705,324.0907,0.01685,49.133,0.5529999999999999,70986.14861,5968.226527446394,197.78218714182913,-121.2853675159322,2049
15739627,-84.247108076,33.849686364,324.0852,0.01675,48.995,0.369,70986.16193,5968.188697656438,197.82540948963634,-121.27990169810619,2049
15739710,-84.247107405,33.849686343,324.0842,0.01675,48.817,0.369,70986.17524,5968.186368576144,197.88751182643114,-121.27890195992995,2049
15739793,-84.247106826,33.849686178,324.0883,0.01685,48.657,0.376,70986.18856000001,5968.168070866773,197.94109987814085,-121.28301748444119,2049
15739876,-84.247106317,33.849685879,324.0836,0.01675,48.513999999999996,0.447,70986.20187,5968.134900772139,197.98820933529316,-121.27834716901498,2049
7940281,-84.309014865,33.920081161999995,305.0302,0.12992,23.445,0.353,69873.69303,13778.34989642433,-5527.20602602761,-87.70261234175541,2059
7844538,-84.309857656,33.920072741,306.0634,0.10945,25.92,0.353,69861.16387,13777.463570549902,-5605.145071823341,-88.6697934888889,2062
28197439,-84.326759201,33.67385084,274.4202,0.09908,36.225,0.514,72694.50202999999,-13533.32687879452,-7188.642941688692,-55.96437942083048,3976
28197548,-84.32675868,33.673849827,274.3978,0.09917999999999999,35.907,0.7879999999999999,72694.51534,-13533.439230443953,-7188.594683074623,-55.94179444159727,3976
28197656,-84.326757951,33.673848825,274.3663,0.09908,35.569,0.757,72694.52864,-13533.550357097978,-7188.52712332522,-55.910133773965754,3976
28197763,-84.326757231,33.673847823,274.3384,0.09908,35.232,0.757,72694.54195,-13533.661490788527,-7188.460402289361,-55.882072154056914,3976
28197870,-84.326756528,33.67384682,274.3143,0.09917999999999999,34.897,0.7609999999999999,72694.55526000001,-13533.772742304136,-7188.395262198369,-55.85780851111758,3976
28197977,-84.326755779,33.673845818000004,274.2827,0.09908,34.556999999999995,0.753,72694.56857,-13533.883870136156,-7188.325847525596,-55.826049920503465,3976
28198084,-84.326754974,33.67384482,274.2542,0.09908,34.211999999999996,0.745,72694.58188,-13533.994564793258,-7188.251242556004,-55.79739810161573,3976
28198189,-84.326755658,33.673843788,274.595,0.10947,34.044000000000004,0.392,72694.59515,-13534.109713296262,-7188.315146442302,-56.13788193195069,3976
28198190,-84.326754389,33.67384381,274.2311,0.09917999999999999,33.888000000000005,0.769,72694.59519,-13534.106586647049,-7188.197047522832,-55.774120491259055,3976
28198296,-84.326753643,33.673842811,274.1996,0.09908,33.542,0.757,72694.60849,-13534.217381715032,-7188.127910932099,-55.74246228804441,3976
28198402,-84.326753152,33.673841797,274.1739,0.09908,33.216,0.7609999999999999,72694.62181,-13534.329835153116,-7188.082430888109,-55.71657393496025,3976
27997423,-84.321708058,33.676030606,261.3422,0.0889,46.361999999999995,0.737,72671.46766000001,-13291.858633157424,-6720.015247290678,-43.90636341986465,3980
27997518,-84.32170776,33.676029774,261.7941,0.09909,46.101000000000006,0.7759999999999999,72671.48094,-13291.951883864771,-6719.988151769742,-44.35809814573258,3980
27997519,-84.32170765,33.676029657,261.3174,0.0888,46.05,0.784,72671.48098,-13291.963871783657,-6719.977458005645,-43.88138302129664,3980
27997614,-84.321707106,33.676028856,261.7687,0.09909,45.766000000000005,0.7879999999999999,72671.49426,-13292.053698744858,-6719.927545952836,-44.332548919903275,3980
27997615,-84.321707043,33.676028735,261.2959,0.0888,45.721000000000004,0.792,72671.49429,-13292.066135430046,-6719.921215284228,-43.859728275409,3980
27997710,-84.321706522,33.676027929,261.7485,0.09919,45.438,0.784,72671.50757999999,-13292.156518220323,-6719.87343794994,-44.312190765219384,3980
27997711,-84.321706361,33.676027821999995,261.2783,0.0889,45.383,0.792,72671.50761,-13292.167413837891,-6719.858020632941,-43.84198291568373,3980
27997807,-84.321705943,33.676026999,261.7192,0.09909,45.11,0.784,72671.52089,-13292.259651098007,-6719.819784290769,-44.28273145051571,3980
27997904,-84.32170517,33.676026094,261.6929,0.09909,44.763999999999996,0.784,72671.5342,-13292.360029886397,-6719.748140720556,-44.25629683666739,3980
