query_lat,query_lon,query_alt,index,lidar_lat,lidar_long,lidar_alt,retro,count,x_cart,y_cart,z_cart
33.8369315,-84.2490125,326.1505001,106704,33.836849948,-84.24911833,332.7048,0.812,1789,4544.311105985806,11.774376914420733,-131.08015696357552
33.8369315,-84.2490125,326.1505001,106705,33.836849826,-84.249118361,332.5168,0.792,1789,4544.297438682262,11.771507042785803,-130.89216669320163
33.8369315,-84.2490125,326.1505001,106706,33.836849642,-84.249118458,332.3332,0.812,1789,4544.276897155067,11.762527842213155,-130.7085813503634
33.8369315,-84.2490125,326.1505001,106707,33.836849562,-84.249118446,332.1452,0.82,1789,4544.267888717662,11.763638297487772,-130.5205877408285
33.8369315,-84.2490125,326.1505001,106708,33.836849424,-84.249118494,331.9612,0.8270000000000001,1789,4544.252449471486,11.759194816516967,-130.33659874132815
33.8369315,-84.2490125,326.1505001,106709,33.836849314,-84.249118514,331.7769,0.835,1789,4544.24011592054,11.75734317516971,-130.15230751590127
33.8369315,-84.2490125,326.1505001,106710,33.836849296,-84.24911843699999,331.5894,0.831,1789,4544.237985211692,11.76447040271686,-129.96480897832828
33.8369315,-84.2490125,326.1505001,106711,33.836849085,-84.249118566,331.4116,0.8390000000000001,1789,4544.214452851947,11.752529109323667,-129.78702578067185
33.8369315,-84.2490125,326.1505001,106712,33.836851322,-84.249117224,335.8083,0.757,1789,4544.465736497287,11.876760334474456,-134.1835470003156
33.8369315,-84.2490125,326.1505001,106713,33.836851216999996,-84.249117223,335.5939,0.7609999999999999,1789,4544.453936038051,11.87685251646091,-133.96915538471475
33.8369315,-84.2490125,326.1505001,106714,33.836851161999995,-84.24911717100001,335.3779,0.769,1789,4544.447680706116,11.881665547102472,-133.75315979304182
33.8369315,-84.2490125,326.1505001,106715,33.83685096,-84.249117278,335.176,0.773,1789,4544.4251294245805,11.87176064978493,-133.5512758847752
33.8369315,-84.2490125,326.1505001,106716,33.83685078,-84.24911736199999,334.9741,0.773,1789,4544.405018502369,11.863984765749505,-133.3493902275992
33.8369315,-84.2490125,326.1505001,106717,33.836850689,-84.24911735100001,334.7673,0.78,1789,4544.39477643686,11.865002617599028,-133.14259749676512
